scenario,strategy,date,stress_group,nominal_tail_fraction
2,exp008_final,2025-02-01,all_days,1
2,exp008_final,2025-02-02,all_days,1
2,exp008_final,2025-02-03,all_days,1
2,exp008_final,2025-02-04,all_days,1
2,exp008_final,2025-02-05,all_days,1
2,exp008_final,2025-02-06,all_days,1
2,exp008_final,2025-02-07,all_days,1
2,exp008_final,2025-02-08,all_days,1
2,exp008_final,2025-02-09,all_days,1
2,exp008_final,2025-02-10,all_days,1
2,exp008_final,2025-02-11,all_days,1
2,exp008_final,2025-02-12,all_days,1
2,exp008_final,2025-02-13,all_days,1
2,exp008_final,2025-02-14,all_days,1
2,exp008_final,2025-02-15,all_days,1
2,exp008_final,2025-02-16,all_days,1
2,exp008_final,2025-02-17,all_days,1
2,exp008_final,2025-02-18,all_days,1
2,exp008_final,2025-02-19,all_days,1
2,exp008_final,2025-02-20,all_days,1
2,exp008_final,2025-02-21,all_days,1
2,exp008_final,2025-02-22,all_days,1
2,exp008_final,2025-02-23,all_days,1
2,exp008_final,2025-02-24,all_days,1
2,exp008_final,2025-02-25,all_days,1
2,exp008_final,2025-02-26,all_days,1
2,exp008_final,2025-02-27,all_days,1
2,exp008_final,2025-02-28,all_days,1
2,exp008_final,2025-03-01,all_days,1
2,exp008_final,2025-03-02,all_days,1
2,exp008_final,2025-03-03,all_days,1
2,exp008_final,2025-03-04,all_days,1
2,exp008_final,2025-03-05,all_days,1
2,exp008_final,2025-03-06,all_days,1
2,exp008_final,2025-03-07,all_days,1
2,exp008_final,2025-03-08,all_days,1
2,exp008_final,2025-03-09,all_days,1
2,exp008_final,2025-03-10,all_days,1
2,exp008_final,2025-03-11,all_days,1
2,exp008_final,2025-03-12,all_days,1
2,exp008_final,2025-03-13,all_days,1
2,exp008_final,2025-03-14,all_days,1
2,exp008_final,2025-03-15,all_days,1
2,exp008_final,2025-03-16,all_days,1
2,exp008_final,2025-03-17,all_days,1
2,exp008_final,2025-03-18,all_days,1
2,exp008_final,2025-03-19,all_days,1
2,exp008_final,2025-03-20,all_days,1
2,exp008_final,2025-03-21,all_days,1
2,exp008_final,2025-03-22,all_days,1
2,exp008_final,2025-03-23,all_days,1
2,exp008_final,2025-03-24,all_days,1
2,exp008_final,2025-03-25,all_days,1
2,exp008_final,2025-03-26,all_days,1
2,exp008_final,2025-03-27,all_days,1
2,exp008_final,2025-03-28,all_days,1
2,exp008_final,2025-03-29,all_days,1
2,exp008_final,2025-03-30,all_days,1
2,exp008_final,2025-03-31,all_days,1
2,exp008_final,2025-04-01,all_days,1
2,exp008_final,2025-04-02,all_days,1
2,exp008_final,2025-04-03,all_days,1
2,exp008_final,2025-04-04,all_days,1
2,exp008_final,2025-04-05,all_days,1
2,exp008_final,2025-04-06,all_days,1
2,exp008_final,2025-04-07,all_days,1
2,exp008_final,2025-04-08,all_days,1
2,exp008_final,2025-04-09,all_days,1
2,exp008_final,2025-04-10,all_days,1
2,exp008_final,2025-04-11,all_days,1
2,exp008_final,2025-04-12,all_days,1
2,exp008_final,2025-04-13,all_days,1
2,exp008_final,2025-04-14,all_days,1
2,exp008_final,2025-04-15,all_days,1
2,exp008_final,2025-04-16,all_days,1
2,exp008_final,2025-04-17,all_days,1
2,exp008_final,2025-04-18,all_days,1
2,exp008_final,2025-04-19,all_days,1
2,exp008_final,2025-04-20,all_days,1
2,exp008_final,2025-04-21,all_days,1
2,exp008_final,2025-04-22,all_days,1
2,exp008_final,2025-04-23,all_days,1
2,exp008_final,2025-04-24,all_days,1
2,exp008_final,2025-04-25,all_days,1
2,exp008_final,2025-04-26,all_days,1
2,exp008_final,2025-04-27,all_days,1
2,exp008_final,2025-04-28,all_days,1
2,exp008_final,2025-04-29,all_days,1
2,exp008_final,2025-04-30,all_days,1
2,exp008_final,2025-05-01,all_days,1
2,exp008_final,2025-05-02,all_days,1
2,exp008_final,2025-05-03,all_days,1
2,exp008_final,2025-05-04,all_days,1
2,exp008_final,2025-05-05,all_days,1
2,exp008_final,2025-05-06,all_days,1
2,exp008_final,2025-05-07,all_days,1
2,exp008_final,2025-05-08,all_days,1
2,exp008_final,2025-05-09,all_days,1
2,exp008_final,2025-05-10,all_days,1
2,exp008_final,2025-05-11,all_days,1
2,exp008_final,2025-05-12,all_days,1
2,exp008_final,2025-05-13,all_days,1
2,exp008_final,2025-05-14,all_days,1
2,exp008_final,2025-05-15,all_days,1
2,exp008_final,2025-05-16,all_days,1
2,exp008_final,2025-05-17,all_days,1
2,exp008_final,2025-05-18,all_days,1
2,exp008_final,2025-05-19,all_days,1
2,exp008_final,2025-05-20,all_days,1
2,exp008_final,2025-05-21,all_days,1
2,exp008_final,2025-05-22,all_days,1
2,exp008_final,2025-05-23,all_days,1
2,exp008_final,2025-05-24,all_days,1
2,exp008_final,2025-05-25,all_days,1
2,exp008_final,2025-05-26,all_days,1
2,exp008_final,2025-05-27,all_days,1
2,exp008_final,2025-05-28,all_days,1
2,exp008_final,2025-05-29,all_days,1
2,exp008_final,2025-05-30,all_days,1
2,exp008_final,2025-05-31,all_days,1
2,exp008_final,2025-06-01,all_days,1
2,exp008_final,2025-06-02,all_days,1
2,exp008_final,2025-06-03,all_days,1
2,exp008_final,2025-06-04,all_days,1
2,exp008_final,2025-06-05,all_days,1
2,exp008_final,2025-06-06,all_days,1
2,exp008_final,2025-06-07,all_days,1
2,exp008_final,2025-06-08,all_days,1
2,exp008_final,2025-06-09,all_days,1
2,exp008_final,2025-06-10,all_days,1
2,exp008_final,2025-06-11,all_days,1
2,exp008_final,2025-06-12,all_days,1
2,exp008_final,2025-06-13,all_days,1
2,exp008_final,2025-06-14,all_days,1
2,exp008_final,2025-06-15,all_days,1
2,exp008_final,2025-06-16,all_days,1
