scenario,strategy,analysis_label,stress_group,nominal_tail_fraction,threshold_field,threshold_value,first_selected_date,last_selected_date,small_group_lt10_days,threshold_load_q80_kwh,threshold_pv_q20_kwh,planned_cost_yuan,up_cost_yuan,down_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_purchase_kwh,final_purchase_kwh,up_adjustment_kwh,down_adjustment_kwh,emergency_kwh,surplus_kwh,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,active_slots,emergency_slots,nonidle_reversals,charge_episodes,discharge_episodes,power_tv_kw,load_kwh,pv_kwh,net_load_kwh,n_days,mean_daily_cost_yuan,mean_daily_emergency_kwh,mean_daily_throughput_kwh,soc_min_kwh,soc_max_kwh,soc_start_kwh,soc_end_kwh,max_balance_abs_kwh,max_soc_equation_abs_kwh,emergency_energy_fraction_pct,cost_per_load_kwh,baseline_strategy,baseline_cost_yuan,cost_saving_yuan,cost_reduction_pct,paired_day_win_fraction,paired_day_cost_saving_sd_yuan,baseline_emergency_kwh,baseline_throughput_kwh
2,exp008_final,posthoc_observed_stress_group,all_days,1,all,,2025-02-01,2025-12-31,False,,,12634934.2059,0,0,567047.742038,13201981.9479,20523708.2871,20523708.2871,0,0,105253.932765,2092424.80475,5975583.37271,5378235.45255,11353818.8253,472.42058678,37211,1501,2533,1670,2228,28219286.9653,37008079.4893,19068889.9943,17939189.495,334,39526.8920597,315.131535224,33993.4695367,1200,10800,1421.79911051,1200,4.54747350886e-13,9.09494701773e-13,0.284407983925,0.356732425193,exp006_primary,14066257.4773,864275.529315,6.14431756785,0.940119760479,4092.56140044,197559.782604,11480847.0398
2,exp008_final,posthoc_observed_stress_group,high_load,0.1,load_kwh,135607.857252,2025-07-01,2025-08-18,False,,,1675947.65763,0,0,57230.0325429,1733177.69017,2606255.42708,2606255.42708,0,0,11867.8870628,122684.774103,618983.856094,552636.760776,1171620.61687,48.7395808459,3956,220,250,201,200,2979353.39858,4719577.4196,2290485.97488,2429091.44472,34,50975.8144169,349.055501848,34459.4299079,1200,10800,3448.18512945,2815.91294546,4.54747350886e-13,9.09494701773e-13,0.251460798451,0.367231541319,exp006_primary,1929995.19657,196817.506397,10.1978236395,0.970588235294,3848.96542862,34227.6632961,1181112.33232
2,exp008_final,posthoc_observed_stress_group,low_pv,0.1,pv_kwh,40546.895385,2025-02-04,2025-12-31,False,,,1693732.79065,0,0,54829.859624,1748562.65027,2724065.32913,2724065.32913,0,0,11586.8511666,100772.909631,756719.609909,682246.417643,1438966.02755,59.8765884851,3973,225,268,185,257,3535130.68263,3802074.71993,1241668.64153,2560406.0784,34,51428.3132433,340.789740193,42322.5302221,1200,10800,3395.07857754,1200,3.41060513165e-13,9.09494701773e-13,0.304750748475,0.459896971805,exp006_primary,1814462.59226,65899.9419928,3.6319261843,0.941176470588,1809.84344885,18333.9289884,1448474.34118
2,exp008_final,posthoc_observed_stress_group,high_net_load,0.1,net_load_kwh,77595.7141283,2025-02-02,2025-12-31,False,,,1940374.44576,0,0,85523.2895161,2025897.73527,3044212.24343,3044212.24343,0,0,17797.1689778,89937.1992449,776597.891706,700925.842795,1477523.7345,61.4827566888,4006,310,270,210,243,3703254.82708,4272823.28458,1376423.12033,2896400.16425,34,59585.2275081,523.446146406,43456.5804265,1200,10800,3425.31228196,1200,3.41060513165e-13,9.09494701773e-13,0.416520127149,0.474135624233,exp006_primary,2127234.29309,101336.557814,4.76377041039,0.911764705882,4407.98122878,35585.8543998,1498664.82147
2,exp008_final,posthoc_observed_stress_group,high_load,0.2,load_kwh,125362.00001,2025-06-01,2025-12-02,False,,,3260086.85992,0,0,225573.088579,3485659.9485,5082818.27527,5082818.27527,0,0,41389.5394194,251710.082284,1233487.78047,1098250.6357,2331738.41617,96.9936280222,7750,447,501,385,395,6023504.08592,8994829.10135,4257568.51372,4737260.58763,67,52024.7753507,617.754319692,34802.065913,1200,10800,2994.45209492,1836.84594846,4.54747350886e-13,9.09494701773e-13,0.460148146819,0.387518196202,exp006_primary,3732529.89937,246869.950877,6.61401134169,0.880597014925,6335.83178577,72924.9092352,2385976.5414
2,exp008_final,posthoc_observed_stress_group,low_pv,0.2,pv_kwh,46435.9747633,2025-02-01,2025-12-31,False,,,3064518.24019,0,0,106538.96758,3171057.20777,4959428.76207,4959428.76207,0,0,21000.2088804,194020.915084,1431870.66568,1288101.98023,2719972.64591,113.173770453,7927,378,528,360,484,6655522.09863,7326799.44207,2684160.07165,4642639.37042,67,47329.2120563,313.435953438,40596.6066554,1200,10800,1421.79911051,1200,4.54747350886e-13,9.09494701773e-13,0.28662186056,0.432802512591,exp006_primary,3317186.14447,146128.936697,4.40520761672,0.940298507463,3086.07145462,38622.974157,2744885.45094
2,exp008_final,posthoc_observed_stress_group,high_net_load,0.2,net_load_kwh,72705.6190267,2025-02-02,2025-12-31,False,,,3609488.19172,0,0,127711.886798,3737200.07852,5664773.56283,5664773.56283,0,0,26569.3750343,198995.215217,1429107.27925,1293104.88534,2722212.16459,113.284268222,7920,453,524,389,470,6801113.14203,8534556.9985,3178211.66977,5356345.32873,67,55779.1056495,396.557836333,40630.0323073,1200,10800,3425.31228196,1200,4.54747350886e-13,9.09494701773e-13,0.311315221622,0.437890341488,exp006_primary,3970129.0433,232928.964778,5.86703762618,0.940298507463,3784.59255353,59122.0441104,2784270.67433
2,exp008_final,posthoc_observed_stress_group,high_load,0.3,load_kwh,121434.472952,2025-02-02,2025-12-31,False,,,5118336.05511,0,0,267520.182298,5385856.23741,7998837.10307,7998837.10307,0,0,50478.2534324,357605.484907,1980596.0202,1773264.52861,3753860.54881,156.172637473,11634,642,763,571,635,9582749.1745,13069818.787,5585440.40698,7484378.38,100,53858.5623741,504.782534324,37538.6054881,1200,10800,3425.31228196,1200,4.54747350886e-13,9.09494701773e-13,0.386219994746,0.412083466893,exp006_primary,5714124.78506,328268.547654,5.74486137425,0.91,5352.48070972,90937.9899213,3834730.40549
2,exp008_final,posthoc_observed_stress_group,low_pv,0.3,pv_kwh,52021.5191067,2025-02-01,2025-12-31,False,,,4281463.49881,0,0,162987.234266,4444450.73308,6964502.31576,6964502.31576,0,0,30976.3754241,344150.096682,2039347.7024,1840333.98498,3879681.68738,161.440727229,11658,496,789,521,719,9541568.71029,10767222.7012,4314907.82408,6452314.87708,100,44444.5073308,309.763754241,38796.8168738,1200,10800,1421.79911051,1200,4.54747350886e-13,9.09494701773e-13,0.287691415733,0.412775964279,exp006_primary,4646292.10756,201841.374482,4.34413871985,0.92,3029.22847758,61076.7581541,3946671.45655
2,exp008_final,posthoc_observed_stress_group,high_net_load,0.3,net_load_kwh,69272.21736,2025-02-02,2025-12-31,False,,,5188543.92093,0,0,285455.63194,5473999.55287,8158946.00075,8158946.00075,0,0,53994.0016629,303239.908686,2061821.34186,1858601.26072,3920422.60259,163.131384135,11653,705,779,577,689,9928513.677,12662521.4407,4956041.4281,7706480.01258,100,54739.9955287,539.940016629,39204.2260259,1200,10800,3425.31228196,1200,4.54747350886e-13,9.09494701773e-13,0.426407978189,0.432299331418,exp006_primary,5737930.15572,263930.602851,4.5997527974,0.91,5504.19995957,92645.3641102,4042260.14053
