scenario,experiment,model_seed,days,points,cost_yuan,planned_cost,up_cost,down_cost,emergency_cost,total_cost,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,charging_slots,discharging_slots,active_slots,simultaneous_slots,max_overlap_kwh,charge_starts,discharge_starts,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_soc,final_soc,minimum_soc,maximum_soc,initial_mode,final_mode,initial_power_kw,final_power_kw,degradation_interpretation,episodes,mean_absolute_delta_kw,rms_delta_kw,p95_absolute_delta_kw,max_absolute_delta_kw,total_variation_kw,direct_reversals,power_limit_share,large_jump_share,warmup_boundary_delta_kw,cyclic_total_variation_kw,cyclic_mode_starts,cyclic_min_on_minutes,cyclic_min_off_minutes,max_cyclic_step_kw,extra_q1_cyclic_metrics
1,exp008,,1,144,34115.03245096839,34115.032450968385,0.0,0.0,0.0,34115.03245096839,20186.71370553619,18168.042334982565,38354.756040518754,1.5958998445807981,4,4,57,42,99,0,4.7691628424217924e-11,3,2,75,33209.166057607916,35744.95261136938,1000.0000000000068,1000.0000000000023,1598.1148350216124,4999.631414496048,4268.670200000007,6000.0,6000.0,1199.999999999999,10800.000000000004,0,1,0.0,2535.7865537614634,operating intensity proxies; not calibrated battery ageing or lifetime,5,232.23193047278264,421.0087774306304,1000.0000000000023,1000.0000000000068,33209.166057607916,1,0.0,0.0,,33209.16605760791,4.0,170.0,430.0,1000.0000000000073,
1,exp009,,1,144,34080.95139956883,34080.951399568854,0.0,0.0,0.0,34080.95139956883,20304.23862365001,18273.814761285008,38578.05338493502,1.6051910051574096,6,6,55,46,101,0,4.170308427314149e-11,4,3,97,49943.27840856709,53943.27840856709,1000.00000000001,1000.0000000000044,1607.4188910389555,5000.000000000105,4282.224499999994,6000.0,6000.0,1199.999999999999,10800.000000000015,0,1,0.0,3000.0000000000014,operating intensity proxies; not calibrated battery ageing or lifetime,7,349.2536951648048,535.551381030625,1000.0000000000044,1000.00000000001,49943.27840856709,3,0.04861111111111111,0.0,,50943.27840856709,6.0,30.0,30.0,1000.0000000000105,
2,exp008,42.0,334,48096,13201981.94794217,12634934.205903966,0.0,0.0,567047.7420382374,13201981.94794217,5975583.372711229,5378235.452551773,11353818.825263,472.4205867795632,2533,2533,18919,18292,37211,0,0.0,1670,2228,38850,28219286.965346314,28223845.06643766,8946.988473150166,4039.9322513250845,1416.3945640298155,5000.0,5000.0,1421.7991105135516,1200.0,1200.0,10800.0,1,-1,172.75999999999976,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,3898,586.7405544307373,1351.8559117404113,4039.9322513250845,8946.988473150166,28219286.965346314,1407,0.030355954757152363,0.13132342239318018,4558.101091349261,,,,,,
2,exp009,42.0,334,48096,13215591.495018769,12632239.14267758,0.0,0.0,583352.3523412447,13215591.495018769,6253097.213527226,5627997.909286171,11881095.122813396,494.359982259562,6935,6935,15352,21561,36913,0,0.0,3856,4386,39128,34265144.57677424,34269888.262134306,9264.29,4533.33250308897,1482.1725452611524,5000.0,5000.0,1421.7991105135516,1200.0,1200.0,10800.0,1,-1,172.75999999999976,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,8242,712.4471270771231,1541.061351541698,4533.33250308897,9264.29,34265144.57677424,5028,0.03910928143712575,0.16527705582700905,4743.685360067648,,,,,,
3,exp008,42.0,334,48096,12826263.074326914,11618817.810945397,1005681.0249849696,0.0,201764.2383964864,12826263.074326914,6171683.912259523,5554807.35748357,11726491.269743094,487.92727164350316,5693,5693,20332,19216,39548,0,0.0,3523,3461,42317,24229597.551264893,24234276.73983117,9233.8628,3400.0768587086445,1462.8856374430009,5000.0,5000.0,1507.622628752613,1200.0,1200.0,10800.0,1,-1,172.75999999999976,-11.978039725959876,operating intensity proxies; not calibrated battery ageing or lifetime,6984,503.78620545305944,1218.941948157345,3400.0768587086445,9233.8628,24229597.551264893,3505,0.02944111776447106,0.09878365734483834,4679.188566276498,,,,,,
3,exp009,42.0,334,48096,12787820.024906656,11620322.95608568,974441.7235607954,0.0,193055.34526012355,12787820.024906656,6351505.602427835,5716646.878635051,12068152.481062887,502.14342448432745,7825,7825,23334,20332,43666,0,0.0,3913,3913,43487,33519916.00484413,33524595.193410404,9233.8628,4591.37183520275,1505.508044044771,5000.0,5000.0,1507.622628752613,1200.0,1200.0,10800.0,1,-1,172.75999999999976,-111.84077521754175,operating intensity proxies; not calibrated battery ageing or lifetime,7826,696.9521988739813,1580.0714219926122,4591.37183520275,9233.8628,33519916.00484413,7216,0.03709248170326015,0.13891256887410333,4679.188566276498,,,,,,
4-2,exp008,42.0,334,48096,13994531.257936869,13400456.682552535,0.0,0.0,594074.5753842426,13994531.257936869,5883905.984487512,5295695.998970428,11179601.98345794,465.1715438463272,1763,1763,15988,19199,35187,0,0.0,1146,2306,37160,28859635.103811145,28864376.46171545,8241.307510779177,3988.8649054866864,1394.6609260800824,5000.0,5000.0,1390.382746315672,1200.0,1200.0,10800.0,1,-1,172.75999999999976,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,3452,600.0547895583978,1314.0530826608424,3988.8649054866864,8241.307510779177,28859635.103811145,594,0.03307967398536261,0.14843538829400146,4741.357904305596,,,,,,
4-2,exp009,42.0,334,48096,13978929.994015003,13376143.787266407,0.0,0.0,602786.206748676,13978929.994015003,6238865.90252475,5615159.925203942,11854025.82772869,493.2335893229361,2831,2831,15912,20411,36323,0,0.0,1665,2593,38285,33682079.1336089,33686806.66079447,8787.780658236934,4150.788429982636,1478.795637191703,5000.0,5000.0,1390.382746315672,1200.0,1200.0,10800.0,1,-1,172.75999999999976,-3255.907294388901,operating intensity proxies; not calibrated battery ageing or lifetime,4258,700.3239241835721,1451.1444232509443,4150.788429982636,8787.780658236934,33682079.1336089,1343,0.03655189620758483,0.1755068094396507,4727.527185565701,,,,,,
4-3,exp008,42.0,334,48096,13579870.464961825,12265276.060812254,1089701.9227077062,0.0,224892.48144194594,13579870.464961825,6627984.582937465,5965492.301485385,12593476.88442285,524.0016369111237,6625,6625,18692,21004,39696,0,0.0,3896,3968,42496,36753201.456022985,36757880.64458926,9025.669783068515,4563.271956260194,1571.0425255018524,5000.0,5000.0,1522.7387288211346,1200.0,1200.0,10800.0,1,-1,172.75999999999976,-3156.7212583268924,operating intensity proxies; not calibrated battery ageing or lifetime,7864,764.1792588839377,1629.9479298332762,4563.271956260194,9025.669783068515,36753201.456022985,4377,0.034015302727877575,0.16469487472710262,4679.188566276498,,,,,,
4-3,exp009,42.0,334,48096,13573403.536271837,12282382.089673847,1073372.3857644848,0.0,217649.06083348757,13573403.536271837,7324650.195391093,6592491.35269365,13917141.548084745,579.0778894828644,9255,9255,22088,21562,43650,0,0.0,4628,4628,43582,52481556.26540071,52486235.45396698,9281.409608457594,4777.351504547393,1736.1703528049832,5000.0,5000.0,1522.7387288211346,1200.0,1200.0,10800.0,1,-1,172.75999999999976,-3285.8020240951973,operating intensity proxies; not calibrated battery ageing or lifetime,9256,1091.2060768354445,2055.370940005124,4777.351504547393,9281.409608457594,52481556.26540071,8603,0.04031520292747837,0.24245763592889075,4679.188566276498,,,,,,
