day,slot,matched,net_paths_sha256,price_sha256,frozen_source_sha256
31,0,True,2249fb4cfac8eb134aef6bc752b3219f6d67b0988eb939870d921ff9b87ce600,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,9a9f3fcc4aa1a7785a987da84adbc8173900c880501b7db2220f9f04b2d1d7f2
32,0,True,21dbd206a4ec664f3284f51505be200110ed2640abf78242d92d40548d105438,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,60e53a8a1da485e9c2a876636863ba7358fb0b12ed00a665696f7b842f3a5a8b
33,0,True,1f057779a373a9a0815cb37f2e9971d38c070fca4f99ed9d7197a9edecc6fbf7,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,5f079e2b6f5770f7c6d404db76ab37e3177a9e066b10ef37f841569845d785d1
34,0,True,f29a6c10380d39042cb315079189e30114cf71df21b1a5ffea03719c7f88f148,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,8904259904235996a3d7369b4ab61dfa5b61d40dbcfca86f195c2ef69a99f2fa
35,0,True,537b0ed1b9e62f3e18a7417b68a637df160f0dc2f425da833e532cb3631b3a62,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,3b8d051a91496e7793782b53e4817cf1e6e13642fa5047a79b282c1e23c039dd
36,0,True,88d443ca81c4bdbe53f58a7bc33dc7a6c4a1bcd21e42078ef9aa0a727862600f,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,d2efcc9710b81d6e23cab798e232343feacb7a1c7d132f7943eddae610275ca3
37,0,True,c51914f97b3489e702d174aaa14bc6036e8224ea2826a7367d4fe9ce44b36941,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,27d45b3e7837e8dca3024e12955b98bb3e0652103b6497076a8b3650db891052
38,0,True,092ff065a270cdd00c71b09194cf2e9607cea2baf627ac4e3e4c9301296bc188,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,2a64feaf47f4679f8550e87fc9955be07992e6cba4138095094a3c63e783270e
39,0,True,79f71d3eb00b65a6b763cd6a49c2c4d38979f4732f686bf89fe3ee698f814cc6,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,e7fa35dbb1b115625ed01ecc89eca7f9204b101487645073009b30d88afb474b
40,0,True,9a5fd6fb867973fc1444191ed2f76a052ba83f9e86d7e0ca88151ba697cd80f6,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,e258f8801d2bb7769a240f1fe404832db1800224f104c5a14a43ba390bb9dfb1
41,0,True,478a4a5de3cb86afbb65c953c8075fee520aecd9adf05720dd7b06cb5c196814,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,39f9b87acbf18fbb374282165b26e4d2905cd257c079bb4b6b1831785e693a33
42,0,True,200803e91af03828bbc2f5ce65f38e957d05451a333d1e72c1b9f2147943bd31,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,47d986335e82c15b56029f7c228210c57de70613b4fd42bcf53a8078387d2965
43,0,True,d58e48aa9208fdb76c8cc71ac5dd2c5e164cb76b493418606447c0ea11ceae7e,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,ab4422d7b024d63cd85cceefdb751c97b8972f98068638f5dd8755ecfcd027ac
44,0,True,b3bfb1562e79cd64952ff1e8182e658a5c41a25d8c073f4ee5bc81a30cd8f184,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,e69042d54c472c26f2cfac75bb09a644415a8c96a4960a96c5c4d0a884cd9f4f
45,0,True,3f989c32773c315f2f38d89e50472ca0e3bd965018242d1c6f820487452a7edd,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,0a6bbaec904c2e18963ef954beb357f18755483963b5eb71c2291f291fc239d8
46,0,True,41ee8c7c331f54a0ada63cfa791386d9b35d34d3534c2bcaec711792fff48776,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,6b3d444fac053b54f8d2a82dd793f2351d9296dfe10e162faec52383ba528b48
47,0,True,a60833ed86702ad28a4d92c64d7b2e4dbc1ca4a910c0f9bc04a563416e403982,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,5f6bac9efda64a7d7a9db0adee2415042ef326c17cad38dd40f9daa75d8bc151
