scenario,experiment,role,cost,comparable,source,scope,current,previous,absolute_change_yuan,relative_change_pct
2,exp001,exp001 同口径重算,15842654.1906855,True,data/results/exp003/baseline/exp002_q2_costs.csv,same Q2 physical and settlement convention; forecast and/or controller may differ,13215591.495018823,15842654.1906855,-2627062.6956666764,-16.582213207754208
2,exp002,exp002 正式风险,15128897.4527102,True,data/results/exp003/baseline/exp002_q2_costs.csv,same Q2 physical and settlement convention; forecast and/or controller may differ,13215591.495018823,15128897.4527102,-1913305.957691377,-12.646697908238027
2,exp003,exp003 正式,14988622.6481765,True,data/results/exp003/dispatch_metrics.csv,same Q2 physical and settlement convention; forecast and/or controller may differ,13215591.495018823,14988622.6481765,-1773031.1531576775,-11.82918000389704
2,exp004,exp004 历史季节,13626145.4059908,True,data/results/exp004/dispatch_metrics.csv,same Q2 physical and settlement convention; forecast and/or controller may differ,13215591.495018823,13626145.4059908,-410553.9109719768,-3.0129864223485745
2,exp005,β=0.1 主方案,14717882.165475883,False,git:8108d0475ae4f2ea25565a806dfec5e836f62c0a:reports/registry/exp005.json,completed LP simulation; additional 1000 kW/10min hard ramp and emergency charging allowed; show separately as descriptive historical comparator,13215591.495018823,14717882.165475883,,
2,exp006,exp006 正式·树DP,14066257.4772568,True,data/results/exp006/primary/dispatch_2.npz,same Q2 physical and settlement convention; forecast and/or controller may differ,13215591.495018823,14066257.4772568,-850665.982237976,-6.047564418704732
3,exp002,原正式策略,14005062.775875755,True,reports/registry/exp002.json,同物理结算；共同四目标早停的信息公平性限制保留,12787820.024906598,14005062.775875755,-1217242.7509691566,-8.6914480173977
4-2,exp002,原正式策略,15901397.201112418,True,reports/registry/exp002.json,同物理结算；共同四目标早停的信息公平性限制保留,13978929.994015083,15901397.201112418,-1922467.2070973348,-12.089926330265143
4-3,exp002,原正式策略,14734925.124925215,True,reports/registry/exp002.json,同物理结算；共同四目标早停的信息公平性限制保留,13573403.53627182,14734925.124925215,-1161521.588653395,-7.882779035562218
2,exp008,用户接受正式策略,13201981.947942203,True,/Users/vegetarianwolf/Projects/CUMCM2026/data/results/exp008/mode_budget_hold1_physical/hgb_extra_trees_half_hold1_cap8_kappa0_334days/dispatch.npz,334日同物理结算；exp008与009同预测,13215591.495018823,13201981.947942203,13609.547076620162,0.10308715108295907
3,exp008,用户接受正式策略,12826263.074326852,True,/Users/vegetarianwolf/Projects/CUMCM2026/data/results/exp008/absolute_hgb_update_dispatch/full334/3/dispatch_3.npz,334日同物理结算；exp008与009同预测,12787820.024906598,12826263.074326852,-38443.049420254305,-0.29972135451675097
4-2,exp008,用户接受正式策略,13994531.257936778,True,/Users/vegetarianwolf/Projects/CUMCM2026/data/results/exp008/q4_hgb_linked_price_physical/full334/dispatch_4-2.npz,334日同物理结算；exp008与009同预测,13978929.994015083,13994531.257936778,-15601.26392169483,-0.11148114670040712
4-3,exp008,用户接受正式策略,13579870.464961907,True,/Users/vegetarianwolf/Projects/CUMCM2026/data/results/exp008/absolute_hgb_update_dispatch/full334/4-3/dispatch_4-3.npz,334日同物理结算；exp008与009同预测,13573403.53627182,13579870.464961907,-6466.92869008705,-0.04762143134408161
2,exp009,预先固定费用目标对照,13215591.495018823,True,data/results/exp009/q2_cost_only/dispatch.npz,334日同物理结算；exp008与009同预测,13215591.495018823,13215591.495018823,0.0,0.0
3,exp009,预先固定费用目标对照,12787820.024906598,True,data/results/exp009/update_cost_only/full334/3/dispatch_3.npz,334日同物理结算；exp008与009同预测,12787820.024906598,12787820.024906598,0.0,0.0
4-2,exp009,预先固定费用目标对照,13978929.994015083,True,data/results/exp009/q4_2_cost_only/full334/dispatch_4-2.npz,334日同物理结算；exp008与009同预测,13978929.994015083,13978929.994015083,0.0,0.0
4-3,exp009,预先固定费用目标对照,13573403.53627182,True,data/results/exp009/update_cost_only/full334/4-3/dispatch_4-3.npz,334日同物理结算；exp008与009同预测,13573403.53627182,13573403.53627182,0.0,0.0
