experiment,model,label,target,population,issue_hour,n,mae_kw,rmse_kw,wape_pct,absolute_error_sum_kw,squared_error_sum_kw2,actual_absolute_sum_kw,available,value_basis,source,source_sha256,source_row_label,forecast_reused,missing_reason,model_id,role,seed,evaluation_start,evaluation_end,forecast_source,month,days,bias_kw,signed_error_sum_kw
exp001,exp001,exp001 午夜重评分,load,all,0,48096.0,180.254622402266,247.45161352437,3.90433946618678,8669526.31905937,2945028750.61853,222048476.9355,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp001 午夜重评分,False,,,,,,,,,,,
exp001,exp001,exp001 午夜重评分,load,pv_generating,0,26880.0,182.936326573486,252.351585808532,3.44334264219711,4917328.45829531,1711753958.47898,142806829.5625,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp001 午夜重评分,False,,,,,,,,,,,
exp001,exp001,exp001 午夜重评分,net_load,all,0,48096.0,293.175440684024,424.942710283763,9.76946403645489,14100565.9951388,8684998062.59311,144333055.9642,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp001 午夜重评分,False,,,,,,,,,,,
exp001,exp001,exp001 午夜重评分,net_load,pv_generating,0,26880.0,383.799257484204,525.813106661377,15.8492868175081,10316524.0411754,7431766893.91957,65091408.5912,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp001 午夜重评分,False,,,,,,,,,,,
exp001,exp001,exp001 午夜重评分,pv,all,0,48096.0,179.603749612492,341.262159873401,7.55001291278804,8638221.94136243,5601253511.27911,114413339.9657,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp001 午夜重评分,False,,,,,,,,,,,
exp001,exp001,exp001 午夜重评分,pv,pv_generating,0,26880.0,306.559095452739,455.78901713816,7.20222702024081,8240308.48576962,5584148724.50453,114413339.9657,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp001 午夜重评分,False,,,,,,,,,,,
exp002,exp002,exp002 午夜重评分,load,all,0,48096.0,163.650380454001,220.779862383218,3.54468934304015,7870928.69831563,2344379286.20259,222048476.9355,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp002 午夜重评分,False,,,,,,,,,,,
exp002,exp002,exp002 午夜重评分,load,pv_generating,0,26880.0,163.903441591056,219.950898830724,3.08509370557757,4405724.50996758,1300411335.4564,142806829.5625,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp002 午夜重评分,False,,,,,,,,,,,
exp002,exp002,exp002 午夜重评分,net_load,all,0,48096.0,281.017061222711,412.014154419262,9.36431123575733,13515796.5765675,8164568388.89776,144333055.9642,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp002 午夜重评分,False,,,,,,,,,,,
exp002,exp002,exp002 午夜重评分,net_load,pv_generating,0,26880.0,373.921474137055,514.70962054753,15.4413761237345,10051009.224804,7121210704.85483,65091408.5912,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp002 午夜重评分,False,,,,,,,,,,,
exp002,exp002,exp002 午夜重评分,pv,all,0,48096.0,172.518255955293,343.496709148628,7.25215961784986,8297438.03842577,5674846520.36778,114413339.9657,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp002 午夜重评分,False,,,,,,,,,,,
exp002,exp002,exp002 午夜重评分,pv,pv_generating,0,26880.0,307.191009719755,459.437308296373,7.21707306485631,8257294.34126702,5673901370.0441,114413339.9657,True,existing midnight rescore,data/results/exp003/baseline/forecast_annual.csv,243853f9ffac473a404611e5f8d808ff8a44e5ceeedc4a20db3e0f32b6359e90,exp002 午夜重评分,False,,,,,,,,,,,
exp003,exp003,exp003 正式,load,all,0,48096.0,176.795720743519,244.28661485194,3.82941918910358,8503166.98488027,2870174500.61816,222048476.9355,True,existing midnight formal score,data/results/exp003/forecast_annual.csv,ef39f84f6bcf741ac29974b560b666e8032be071c70b9a74c891876c7ba65e9f,exp003 正式,False,,,,,,,,,,,
exp003,exp003,exp003 正式,load,pv_generating,0,26880.0,174.558179895383,239.604570800335,3.2856438938968,4692123.87558789,1543190217.36533,142806829.5625,True,existing midnight formal score,data/results/exp003/forecast_annual.csv,ef39f84f6bcf741ac29974b560b666e8032be071c70b9a74c891876c7ba65e9f,exp003 正式,False,,,,,,,,,,,
exp003,exp003,exp003 正式,net_load,all,0,48096.0,303.829151537986,448.211549031457,10.1244768738185,14612966.872371,9662178233.78634,144333055.9642,True,existing midnight formal score,data/results/exp003/forecast_annual.csv,ef39f84f6bcf741ac29974b560b666e8032be071c70b9a74c891876c7ba65e9f,exp003 正式,False,,,,,,,,,,,
exp003,exp003,exp003 正式,net_load,pv_generating,0,26880.0,401.857297885923,556.856631574532,16.5950075454873,10801924.1671736,8335200602.49498,65091408.5912,True,existing midnight formal score,data/results/exp003/forecast_annual.csv,ef39f84f6bcf741ac29974b560b666e8032be071c70b9a74c891876c7ba65e9f,exp003 正式,False,,,,,,,,,,,
exp003,exp003,exp003 正式,pv,all,0,48096.0,185.34649162262,375.174878037984,7.79142088130106,8914424.86108152,6769809671.47383,114413339.9657,True,existing midnight formal score,data/results/exp003/forecast_annual.csv,ef39f84f6bcf741ac29974b560b666e8032be071c70b9a74c891876c7ba65e9f,exp003 正式,False,,,,,,,,,,,
exp003,exp003,exp003 正式,pv,pv_generating,0,26880.0,331.633831770153,501.849596855795,7.79132695597745,8914317.39798171,6769809120.19303,114413339.9657,True,existing midnight formal score,data/results/exp003/forecast_annual.csv,ef39f84f6bcf741ac29974b560b666e8032be071c70b9a74c891876c7ba65e9f,exp003 正式,False,,,,,,,,,,,
exp004,exp004,exp004 无季节,load,all,0,48096.0,195.457563261662,258.311774693521,4.23363721849061,9400726.96263287,3209204298.77794,222048476.9355,True,existing midnight formal score,data/results/exp004/forecast_annual.csv,835e4b3ebe940a329fb7e72af637d9440926e2ee57e094c91b3a9ef02e08e8f5,exp004 无季节,False,,,,,,,,,,,
exp004,exp004,exp004 无季节,load,pv_generating,0,26880.0,191.830924953953,252.128225661351,3.61076236939042,5156415.26276226,1708725101.66779,142806829.5625,True,existing midnight formal score,data/results/exp004/forecast_annual.csv,835e4b3ebe940a329fb7e72af637d9440926e2ee57e094c91b3a9ef02e08e8f5,exp004 无季节,False,,,,,,,,,,,
exp004,exp004,exp004 无季节,net_load,all,0,48096.0,359.31117274698,524.838254795593,11.9733002595921,17281430.1644388,13248292996.0453,144333055.9642,True,existing midnight formal score,data/results/exp004/forecast_annual.csv,835e4b3ebe940a329fb7e72af637d9440926e2ee57e094c91b3a9ef02e08e8f5,exp004 无季节,False,,,,,,,,,,,
