experiment,scenario,wall_seconds,solver_seconds,refinement_seconds,new_model_fits
exp008,1,,7.928252624929883,,
exp009,1,0.15416820801328868,0.14851529092993587,,0.0
exp008,2,,699.0726444264874,304.3245660071261,
exp009,2,547.6166880000383,174.31607178831473,360.03926978318486,0.0
exp008,3,76.17542079195846,39.686054537422024,,
exp009,3,89.26474879099987,35.26453403290361,,0.0
exp008,4-2,,933.9924007499358,342.2568977995543,
exp009,4-2,685.6036927090026,306.6940250857733,367.600635676994,0.0
exp008,4-3,90.7251179999439,46.15947908279486,,
exp009,4-3,125.72365025000181,48.64335049933288,,0.0
