起点/h,终点/h,电价/元每kWh,负载/kW,光伏/kW,购电量/kWh,充电功率/kW,放电功率/kW,剩余/kWh,期初储电/kWh,期末储电/kWh,区间电费/元
0.0,0.16666666666666666,0.4248,3439.8466,0.0,1406.6410999999998,5000.0,0.0,0.0,6000.0,6790.569415042095,597.5411392799999
0.16666666666666666,0.3333333333333333,0.4245,3437.9792,0.0,1406.329866666667,5000.000000000015,1.2942336498561131e-11,0.0,6790.569415042095,7581.13883008419,596.9870284000001
0.3333333333333333,0.5,0.4269,3444.3031,0.0,1407.3838500000002,5000.000000000001,0.0,0.0,7581.13883008419,8371.708245126285,600.8121655650001
0.5,0.6666666666666666,0.4272,3454.4437,0.0,1409.07395,4999.999999999995,-5.824051424352519e-12,0.0,8371.708245126285,9162.27766016838,601.9563914400001
0.6666666666666666,0.8333333333333333,0.4271,3458.8273,0.0,1409.80455,4999.9999999999945,-6.821210263296962e-12,0.0,9162.27766016838,9952.847075210475,602.127523305
0.8333333333333333,1.0,0.4285,3459.8401,0.0,576.6400166666663,-2.0463630789890856e-11,-1.8417267710901768e-11,0.0,9952.847075210475,9952.847075210475,247.09024714166648
1.0,1.1666666666666665,0.4311,3467.1582,0.0,577.8596999999996,8.854999241093883e-11,9.059635548992792e-11,0.0,9952.847075210475,9952.847075210473,249.11531666999983
1.1666666666666665,1.3333333333333333,0.4302,3467.9632,0.0,577.9938666666669,-8.399264457632519e-11,-8.594724931754159e-11,0.0,9952.847075210473,9952.847075210475,248.65296144000013
1.3333333333333333,1.5,0.4279,3466.9683,0.0,637.4723062694118,357.86553761640965,-6.491390650059577e-11,0.0,9952.847075210475,10009.430584957912,272.7743998526813
1.5,1.6666666666666665,0.4312,3482.4927,0.0,580.4154499999999,-6.471168249280578e-12,-5.789047222950882e-12,0.0,10009.430584957912,10009.430584957912,250.27514203999996
1.6666666666666665,1.8333333333333333,0.4333,3495.0841,0.0,582.5140166666666,0.0,0.0,0.0,10009.430584957912,10009.430584957912,252.40332342166667
1.8333333333333333,2.0,0.4311,3498.4443,0.0,583.0740499999998,-6.471168249280565e-12,-5.789047222950869e-12,0.0,10009.430584957912,10009.430584957912,251.3632229549999
2.0,2.1666666666666665,0.4293,3505.2295,0.0,584.2049166666668,1.3642420526593898e-11,1.2278178473934505e-11,0.0,10009.430584957912,10009.430584957912,250.79917072500007
2.1666666666666665,2.333333333333333,0.4324,3512.6387,0.0,585.4397833333333,0.0,0.0,0.0,10009.430584957912,10009.430584957912,253.1441623133333
2.333333333333333,2.5,0.4367,3516.8685,0.0,586.14475,6.471168249280565e-12,5.789047222950869e-12,0.0,10009.430584957912,10009.430584957912,255.969412325
2.5,2.6666666666666665,0.4348,3517.9246,0.0,586.320766666667,2.7284841053187808e-11,2.4556356947869027e-11,0.0,10009.430584957912,10009.430584957912,254.93226934666686
2.6666666666666665,2.833333333333333,0.4335,3518.5518,0.0,586.4253000000002,1.294233649856113e-11,1.1578094445901737e-11,0.0,10009.430584957912,10009.430584957912,254.21536755000008
2.833333333333333,3.0,0.4357,3521.0976,0.0,586.8496000000001,6.821210263296962e-12,6.139089236967266e-12,0.0,10009.430584957912,10009.430584957912,255.69037072000003
3.0,3.1666666666666665,0.4374,3526.9261,0.0,587.8210166666662,-2.7284841053187808e-11,-2.4556356947869027e-11,0.0,10009.430584957912,10009.430584957912,257.1129126899998
3.1666666666666665,3.333333333333333,0.4371,3537.2854,0.0,589.5475666666667,6.471168249280565e-12,5.789047222950869e-12,0.0,10009.430584957912,10009.430584957912,257.69124139
3.333333333333333,3.5,0.4356,3544.8808,0.0,590.8134666666665,-6.821210263296952e-12,-6.139089236967256e-12,0.0,10009.430584957912,10009.430584957912,257.35834607999993
3.5,3.6666666666666665,0.4353,3541.2787,0.0,590.2131166666665,-6.471168249280565e-12,-5.789047222950869e-12,0.0,10009.430584957912,10009.430584957912,256.9197696849999
3.6666666666666665,3.833333333333333,0.436,3546.3976,0.0,591.066266666666,6.352901378643435e-11,6.752998160663982e-11,0.0,10009.430584957912,10009.43058495791,257.7048922666664
3.833333333333333,4.0,0.4378,3560.207,0.0,593.3678333333331,-6.821210263296949e-12,-6.139089236967253e-12,0.0,10009.43058495791,10009.43058495791,259.77643743333323
4.0,4.166666666666666,0.4401,3561.9581,0.0,593.6596833333333,-1.0353869198848906e-10,-1.0353869198848905e-10,0.0,10009.43058495791,10009.430584957912,261.269626635
4.166666666666666,4.333333333333333,0.4389,3556.7183,0.0,592.7863833333328,-3.410605131648476e-11,-3.0695446184836276e-11,0.0,10009.430584957912,10009.430584957912,260.1739436449998
4.333333333333333,4.5,0.4364,3560.0272,0.0,593.3378666666667,6.471168249280565e-12,5.789047222950869e-12,0.0,10009.430584957912,10009.430584957912,258.9326450133334
4.5,4.666666666666666,0.4393,3580.654,0.5994,596.6757666666658,-4.774847184307867e-11,-4.2973624658770795e-11,0.0,10009.430584957912,10009.430584957912,262.1196642966663
4.666666666666666,4.833333333333333,0.4422,3586.916,0.2345,597.7802499999998,-7.835410301939957e-12,-6.471168249280565e-12,0.0,10009.430584957912,10009.430584957912,264.3384265499999
4.833333333333333,5.0,0.4395,3571.2635,0.2885,595.1624999999998,-6.471168249280565e-12,-5.789047222950869e-12,0.0,10009.430584957912,10009.430584957912,261.5739187499999
5.0,5.166666666666666,0.4333,3562.3171,18.6781,590.6064999999999,-6.821210263296952e-12,-6.139089236967256e-12,0.0,10009.430584957912,10009.430584957912,255.90979644999996
5.166666666666666,5.333333333333333,0.4439,3591.3809,54.4698,589.4851833333336,1.294233649856113e-11,1.1578094445901737e-11,0.0,10009.430584957912,10009.430584957912,261.6724728816668
5.333333333333333,5.5,0.4301,3579.7045,108.9718,578.45545,6.821210263296962e-12,6.139089236967266e-12,0.0,10009.430584957912,10009.430584957912,248.793689045
5.5,5.666666666666666,0.3713,3486.119,184.1603,1383.6597833333265,4999.999999999991,3.235584124640284e-11,0.0,10009.430584957912,10800.0,513.7528775516641
5.666666666666666,5.833333333333333,0.5708,3823.8994,277.0582,0.0,7.837303768573142e-11,3546.841200000075,0.0,10800.0,10176.883517170843,0.0
5.833333333333333,6.0,0.9099,4398.0727,388.5494,0.0,-2.7284841053187808e-11,4009.523299999979,0.0,10176.883517170843,9472.482074975587,0.0
6.0,6.166666666666666,0.9368,4454.0123,521.2803,0.0,-2.5884672997122263e-11,3932.7319999999745,0.0,9472.482074975587,8781.571489029515,0.0
6.166666666666666,6.333333333333333,0.8758,4371.7919,672.7677,0.0,6.821210263296951e-11,3699.024200000065,0.0,8781.571489029515,8131.71917835828,0.0
6.333333333333333,6.5,0.8759,4392.953,844.2261,0.0,1.1596057447604835e-11,3548.7269000000124,0.0,8131.71917835828,7508.271411807803,0.0
6.5,6.666666666666666,0.8601,4384.5956,1039.6744,0.0,-5.96785516322542e-11,3344.92119999994,0.0,7508.271411807803,6920.628657042048,0.0
6.666666666666666,6.833333333333333,0.8442,4434.7757,1259.3375,0.0,-4.774847184307866e-11,3175.4381999999514,0.0,6920.628657042048,6362.761030313977,0.0
6.833333333333333,7.0,0.8334,4523.4561,1508.6318,0.0,1.2942336498561131e-11,3014.8243000000134,0.0,6362.761030313977,5833.1103895793785,0.0
7.0,7.166666666666666,0.8092,4524.0721,1791.4107,0.0,-4.774847184307866e-11,2732.6613999999545,0.0,5833.1103895793785,5353.03071746691,0.0
7.166666666666666,7.333333333333333,0.7972,4545.8867,2085.4865,0.0,0.0,2460.4002,0.0,5353.03071746691,4920.78246260392,0.0
7.333333333333333,7.5,0.7644,4523.2418,2381.2611,0.0,-3.3434369287949646e-11,2141.9806999999664,0.0,4920.78246260392,4544.474811708264,0.0
7.5,7.666666666666666,0.6899,4383.3566,2683.1752,0.0,-1.3642420526593904e-11,1700.1813999999893,0.0,4544.474811708264,4245.783386183052,0.0
7.666666666666666,7.833333333333333,0.86,4910.4599,2986.3552,0.0,-1.2942336498561131e-11,1924.104699999987,0.0,4245.783386183052,3907.7526468144424,0.0
7.833333333333333,8.0,1.1617,5799.7327,3289.204,0.0,-3.069544618483628e-11,2510.52869999997,0.0,3907.7526468144424,3466.6977121910227,0.0
8.0,8.166666666666666,1.1683,5884.826,3593.3613,0.0,1.2942336498561131e-11,2291.4647000000127,0.0,3466.6977121910227,3064.1283994202204,0.0
8.166666666666666,8.333333333333332,1.0956,5748.0713,3890.7332,0.0,1.2582827151378899e-11,1857.3381000000097,0.0,3064.1283994202204,2737.8273560307994,0.0
8.333333333333332,8.5,1.0849,5769.0581,4181.3417,0.0,0.0,1587.7164000000005,0.0,2737.8273560307994,2458.8940170084124,0.0
8.5,8.666666666666666,1.061,5754.2105,4471.7657,0.0,1.4560128560881274e-11,1282.4448000000148,0.0,2458.8940170084124,2233.5914313729063,0.0
8.666666666666666,8.833333333333332,1.043,5824.1807,4752.8272,0.0,1.0231815394945428e-11,1071.3535000000097,0.0,2233.5914313729063,2045.3738069732838,0.0
8.833333333333332,9.0,1.036,5954.2601,5021.9074,0.0,1.6177920623201414e-12,932.352700000002,0.0,2045.3738069732838,1881.5761339395242,0.0
9.0,9.166666666666666,1.0147,5958.9696,5285.4126,0.0,-9.07761101635192e-12,673.5569999999915,0.0,1881.5761339395242,1763.2442309423002,0.0
9.166666666666666,9.333333333333332,0.9922,5929.5554,5543.1742,0.0,5.115907697472714e-12,386.38120000000526,0.0,1763.2442309423002,1695.3639733273528,0.0
9.333333333333332,9.5,0.97,5923.7828,5788.4093,0.0,2.0222400779001768e-13,135.3734999999999,0.0,1695.3639733273528,1671.5812736146415,0.0
9.5,9.666666666666666,0.9422,5907.586,6012.1304,0.0,104.54440000001311,1.3306339712583182e-11,0.0,1671.5812736146415,1688.1111946454266,0.0
